property,task_title,asset,location,trigger_type,interval_days,meter_unit,interval_meter,priority,checklist
Spencer Green Hotel,Genset monthly warm-up,,Genset Room,Calendar,30,,,Medium,"Check fuel, oil, radiator water; run for 30 minutes; log start time and duration"
Spencer Green Hotel,Genset 50-hour inspection,,Genset Room,Meter,,Hours,50,High - Guest Visible,"Clean fuel separator/filter; check fan belt, fuel/cooling hoses and governor"
Spencer Green Hotel,Genset 200-hour service,,Genset Room,Meter,,Hours,200,Critical - Safety / Spreading Damage,"Drain fuel tank; replace oil; clean radiator and air filter; check belt and governor"
Spencer Green Hotel,Genset 400-hour filters,,Genset Room,Meter,,Hours,400,Critical - Safety / Spreading Damage,"Replace air, fuel and oil filters"
Spencer Green Hotel,Genset 1000-hour service,,Genset Room,Meter,,Hours,1000,Critical - Safety / Spreading Damage,"Replace coolant; service radiator/turbo; adjust valves; inspect injectors"
Spencer Green Hotel,Genset 2000-hour overhaul checks,,Genset Room,Meter,,Hours,2000,Critical - Safety / Spreading Damage,"Replace fuel/cooling hoses; governor and engine bolt checks; calibrate injection pump"
Spencer Green Hotel,Clean roof gutters,,Roof and gutters,Calendar,30,,,Critical - Safety / Spreading Damage,"Clean leaves; verify conical aluminium mesh protects drain openings"
Spencer Green Hotel,Clean room AC and water-heater filters,,Guest rooms,Calendar,90,,,High - Guest Visible,"Clean filters; record before/after evidence and affected room"
